df_index,open    ,high    ,close   ,low     ,volume     ,price_change,p_change,ma5      ,ma10     ,ma20     ,v_ma5       ,v_ma10      ,v_ma20      ,macd               ,dea                 ,hist                ,date      ,value
476     ,11677.63,11770.51,11497.55,11453.69,686513088.0,-358.53     ,-3.02   ,11652.96 ,11382.902,10970.43 ,637933529.6 ,560902012.8 ,490263152.0 ,292.3281614577045  ,219.84883911171443  ,72.47932234599006   ,2020-02-26,11334.070787066219
477     ,11555.82,11684.5 ,11534.02,11401.32,551694848.0,36.47       ,0.32    ,11657.946,11449.872,10993.528,637930368.0 ,570542457.6 ,500243390.4 ,285.585110086653   ,232.99609330670214  ,52.58901677995087   ,2020-02-27,11370.022234253169
478     ,11150.66,11338.35,10980.77,10962.24,610890432.0,-553.25     ,-4.8    ,11528.16 ,11456.318,11008.472,640030105.6 ,589922163.2 ,510643198.4 ,232.91365832771953 ,232.9796063109056   ,-0.06594798318607786,2020-02-28,11370.022234253169
479     ,11115.46,11457.42,11381.76,11053.29,532405536.0,400.99      ,3.65    ,11450.036,11470.344,11088.576,622401952.0 ,595051219.2 ,527490979.2 ,220.98037095729887 ,230.57975924018427  ,-9.5993882828854    ,2020-03-02,11370.022234253169
480     ,11597.66,11734.18,11484.21,11378.76,601666176.0,102.45      ,0.9     ,11375.662,11488.116,11158.303,596634016.0 ,602408752.0 ,531996283.2 ,217.285284032243   ,227.920864198596    ,-10.635580166353009 ,2020-03-03,11370.022234253169
481     ,11411.6 ,11501.8 ,11493.02,11273.26,513348224.0,8.81        ,0.08    ,11374.756,11513.858,11217.679,562001043.2 ,599967286.4 ,534930104.0 ,212.61687935839836 ,224.86006723055647  ,-12.243187872158103 ,2020-03-04,11370.022234253169
482     ,11644.41,11739.84,11711.37,11521.29,593054208.0,218.35      ,1.9     ,11410.226,11534.086,11273.181,570272915.2 ,604101641.6 ,540527342.4 ,223.95454658705603 ,224.67896310185637  ,-0.724416514800339  ,2020-03-05,11370.022234253169
483     ,11555.46,11690.2 ,11582.82,11541.78,538856704.0,-128.55     ,-1.1    ,11530.636,11529.398,11321.744,555866169.6 ,597948137.6 ,542989200.0 ,220.03044488202067 ,223.74925945788922  ,-3.7188145758685494 ,2020-03-06,11370.022234253169
484     ,11363.79,11407.47,11108.55,11100.91,584734784.0,-474.27     ,-4.09   ,11475.994,11463.015,11340.749,566332019.2 ,594366985.6 ,548681398.4 ,176.61503249338057 ,214.3224140649875   ,-37.70738157160693  ,2020-03-09,11370.022234253169
485     ,11016.92,11406.3 ,11403.47,10916.95,581355136.0,294.92      ,2.65    ,11459.846,11417.754,11372.491,562269811.2 ,579451913.6 ,556858396.8 ,164.1137831006472  ,204.28068787211944  ,-40.16690477147225  ,2020-03-10,11370.022234253169
486     ,11436.44,11444.78,11200.05,11197.09,529580224.0,-203.42     ,-1.78   ,11401.252,11388.004,11385.453,565516211.2 ,563758627.2 ,562330320.0 ,136.22187792855402 ,190.66892588340636  ,-54.44704795485234  ,2020-03-11,11370.022234253169
487     ,11022.4 ,11070.41,10941.01,10842.38,465707936.0,-259.04     ,-2.31   ,11247.18 ,11328.703,11389.288,540046956.8 ,555159936.0 ,562851196.8 ,92.15270005379898  ,170.96568071748487  ,-78.81298066368589  ,2020-03-12,11370.022234253169
488     ,10382.22,10956.51,10831.12,10380.17,529004544.0,-109.89     ,-1.0    ,11096.84 ,11313.738,11385.028,538076524.8 ,546971347.2 ,568446755.2 ,47.80923932510086  ,146.33439243900807  ,-98.52515311390721  ,2020-03-13,11370.022234253169
489     ,10867.66,10867.66,10253.28,10217.93,520482624.0,-577.84     ,-5.33   ,10925.786,11200.89 ,11335.617,525226092.8 ,545779056.0 ,570415137.6 ,-33.5731215230262  ,110.35288964660121  ,-143.92601116962743 ,2020-03-16,11370.022234253169
490     ,10337.92,10449.33,10202.75,9885.86 ,449164288.0,-50.53      ,-0.49   ,10685.642,11072.744,11280.43 ,498787923.2 ,530528867.2 ,566468809.6 ,-100.98251396502928,68.08580892427511   ,-169.0683228893044  ,2020-03-17,11370.022234253169
491     ,10294.96,10479.78,10029.57,10029.57,452580800.0,-173.18     ,-1.7    ,10451.546,10926.399,11220.129,483388038.4 ,524452124.8 ,562209705.6 ,-166.46027141713785,21.176592855992517  ,-187.63686427313036 ,2020-03-18,11370.022234253169
492     ,10023.12,10101.8 ,10019.86,9719.49 ,432237728.0,-9.71       ,-0.1    ,10267.316,10757.248,11145.667,476693996.8 ,508370476.8 ,556236059.2 ,-216.63811248169986,-26.386348211545958 ,-190.2517642701539  ,2020-03-19,11370.022234253169
493     ,10150.78,10174.51,10150.13,9964.29 ,380046976.0,130.27      ,1.3     ,10131.118,10613.979,11071.689,446902483.2 ,492489504.0 ,545218820.8 ,-243.09051659231955,-69.72718188770068  ,-173.36333470461886 ,2020-03-20,11370.022234253169
494     ,9828.9  ,9929.96 ,9691.53 ,9659.35 ,388114592.0,-458.6      ,-4.52   ,10018.768,10472.277,10967.646,420428876.8 ,472827484.8 ,533597235.2 ,-297.62854811383477,-115.3074551329275  ,-182.32109298090728 ,2020-03-23,11370.022234253169
495     ,9900.22 ,9945.92 ,9921.68 ,9634.97 ,398359264.0,230.15      ,2.38    ,9962.554 ,10324.098,10870.926,410267872.0 ,454527897.6 ,516989905.6 ,-318.6064526037535 ,-155.9672546270927  ,-162.6391979766608  ,2020-03-24,11370.022234253169
496     ,10171.47,10255.58,10241.08,10111.36,416839392.0,319.4       ,3.22    ,10004.856,10228.201,10808.103,403119590.4 ,443253814.4 ,503506220.8 ,-305.9320877157552 ,-185.9602212448252  ,-119.97186647093    ,2020-03-25,11370.022234253169
